cut_distance,person
0.06,0.999387723211
0.09,0.998842222754
0.1,0.998378700633
0.11,0.998125366223
0.12,0.997844669746
0.13,0.997425300028
0.14,0.997204428539
0.15,0.996653197778
0.16,0.99608570583
0.17,0.995656055444
0.18,0.995416385154
0.19,0.994814367047
0.2,0.994077520514
0.21,0.993772663879
0.22,0.993427174499
0.23,0.993138858549
0.24,0.992584716832
0.25,0.991920215824
0.26,0.991662748869
0.27,0.991183306592
0.28,0.990675836607
0.29,0.990191426432
0.3,0.989622801099
0.31,0.989073560208
0.32,0.988689922447
0.33,0.988290470105
0.34,0.987351852162
0.35,0.986816821238
0.36,0.986409006224
0.37,0.985919800914
0.38,0.985657240961
0.39,0.985042356834
0.4,0.984598430555
0.41,0.984123068938
0.42,0.983656941296
0.43,0.98330553581
0.44,0.982906567093
0.45,0.98238894617
0.46,0.981955759387
0.47,0.981400538862
0.48,0.98083056666
0.49,0.980429631811
0.5,0.98020777901
0.51,0.97980397126
0.52,0.979264732005
0.53,0.978672590932
0.54,0.97791789369
0.55,0.977362094675
0.56,0.976937586462
0.57,0.976269760023
0.58,0.97578275317
0.59,0.974943664382
0.6,0.974331746251
0.61,0.973651173664
0.62,0.973174107384
0.63,0.972943354987
0.64,0.972341890002
0.65,0.971573611335
0.66,0.971019345198
0.67,0.970842026802
0.68,0.970149846883
0.69,0.969638640769
0.7,0.969078802596
0.71,0.96879241898
0.72,0.968153783923
0.73,0.96751645309
0.74,0.967139663359
0.75,0.966696888858
0.76,0.966037772623
0.77,0.965296582897
0.78,0.964907594412
0.79,0.964355588693
0.8,0.963839981396
0.81,0.963022187749
0.82,0.962488904416
0.83,0.961914620602
0.84,0.961232260615
0.85,0.961012203472
0.86,0.960223386845
0.87,0.959586910518
0.88,0.959031207405
0.89,0.958665857782
0.9,0.958402984297
0.91,0.957924187312
0.92,0.95725672195
0.93,0.9565755485
0.94,0.955965794223
0.95,0.955504480662
0.96,0.955086000226
0.97,0.954210343647
0.98,0.954018382505
0.99,0.953511641799
1.0,0.953290141445
1.01,0.953027366293
1.02,0.952221411256
1.03,0.951957428795
1.04,0.951588740009
1.05,0.951091702451
1.06,0.950493428466
1.07,0.950095925922
1.08,0.949423330271
1.09,0.948820905426
1.1,0.948235005323
1.11,0.947760514336
1.12,0.946996983943
1.13,0.946509929982
1.14,0.946223690571
1.15,0.945757014043
1.16,0.945150547566
1.17,0.944716130047
1.18,0.944016588367
1.19,0.94335963743
1.2,0.942706606081
1.21,0.941924507487
1.22,0.941147434568
1.23,0.940883809737
1.24,0.940659214524
1.25,0.940165829809
1.26,0.939699009026
1.27,0.938533188485
1.28,0.9377863119
1.29,0.937250446596
1.3,0.93656619408
1.31,0.936499037174
1.32,0.936140878825
1.33,0.935471102436
1.34,0.93569086561
1.35,0.934603435197
1.36,0.93407572879
1.37,0.933513039001
1.38,0.933031465731
1.39,0.932824227511
1.4,0.932655120322
1.41,0.932695591048
1.42,0.931911912353
1.43,0.931541039496
1.44,0.931172091118
1.45,0.930276026831
1.46,0.929548428947
1.47,0.929413109987
1.48,0.928386116982
1.49,0.927722129404
1.5,0.927485194344
1.51,0.927137534726
1.52,0.926796513773
1.53,0.926637105084
1.54,0.926430969125
1.55,0.926112908433
1.56,0.925189910897
1.57,0.924656500959
1.58,0.923909397985
1.59,0.923697290793
1.6,0.923908149526
1.61,0.923338002262
1.62,0.923023521338
1.63,0.923303747261
1.64,0.923011236414
1.65,0.922782213604
1.66,0.921891110367
1.67,0.921675180214
1.68,0.921138183329
1.69,0.920673965628
1.7,0.920135517753
1.71,0.919680082796
1.72,0.919028068638
1.73,0.918129749414
1.74,0.917705081517
1.75,0.91734724758
1.76,0.916524473606
1.77,0.916028531271
