0.0	2	2391	0	0	0
0.06	2	54	0	0	0
0.09	2	2270	0	1	0
0.1	2	1724	1	1	0
0.1	2	2268	0	1	0
0.11	2	1724	1	1	0
0.11	2	2266	0	1	0
0.12	2	2264	0	1	0
0.12	2	1724	1	1	0
0.12	2	2043	1	1	2
0.13	2	2040	1	1	2
0.13	2	1723	1	1	0
0.13	2	1722	2	1	0
0.13	2	1978	0	1	0
0.13	2	2261	0	1	0
0.14	2	2261	0	1	0
0.14	2	1978	0	1	0
0.14	2	1722	2	1	0
0.14	2	1723	1	1	0
0.14	2	2040	1	1	2
0.15	3	2036	2	2	2
0.15	3	1719	1	1	0
0.15	2	1721	2	1	0
0.15	2	1722	1	1	0
0.15	2	1727	2	2	1
0.15	2	1974	0	1	0
0.15	2	2256	0	1	0
0.16	3	2035	2	2	2
0.16	3	1718	1	1	0
0.16	2	1973	0	1	0
0.16	2	1721	1	1	0
0.16	2	1720	2	1	0
0.16	2	1726	2	2	1
0.16	2	2255	0	1	0
0.17	3	1718	1	1	0
0.17	3	2032	2	2	2
0.17	2	1970	0	1	0
0.17	2	1720	2	1	0
0.17	2	2252	0	1	0
0.17	2	1726	2	2	1
0.17	2	1721	1	1	0
0.18	3	2029	2	2	2
0.18	3	1716	1	1	0
0.18	2	1967	0	1	0
0.18	2	1724	2	2	1
0.18	2	1719	1	1	0
0.18	2	1718	2	1	0
0.18	2	2249	0	1	0
0.19	3	1719	1	2	1
0.19	3	1716	1	1	0
0.19	3	2027	2	2	2
0.19	2	1723	2	2	1
0.19	2	1718	2	1	0
0.19	2	1734	1	0	2
0.19	2	1965	0	1	0
0.19	2	2246	0	1	0
0.2	3	1713	1	1	0
0.2	3	2021	2	2	2
0.2	3	1716	1	2	1
0.2	2	2239	0	1	0
0.2	2	1715	2	1	0
0.2	2	1731	1	0	2
0.2	2	1720	2	2	1
0.2	2	1959	0	1	0
0.21	5	1713	2	1	1
0.21	3	2017	2	2	2
0.21	3	1711	1	1	0
0.21	2	1728	1	0	2
0.21	2	1717	2	2	1
0.21	2	2234	0	1	0
0.21	2	2056	0	1	1
0.21	2	1955	0	1	0
0.22	5	1713	2	1	1
0.22	3	1711	1	1	0
0.22	3	2014	2	2	2
0.22	2	1717	2	2	1
0.22	2	1728	1	0	2
0.22	2	1953	0	1	0
0.22	2	1954	0	1	1
0.22	2	2231	0	1	0
0.22	2	2053	0	1	1
0.23	5	1711	2	1	1
0.23	3	2009	2	2	2
0.23	3	1709	1	1	0
0.23	2	1726	1	0	2
0.23	2	1715	2	2	1
0.23	2	2226	0	1	0
0.23	2	2048	0	1	1
0.23	2	1948	0	1	0
0.23	2	1949	0	1	1
0.24	5	1711	2	1	1
0.24	4	2008	2	2	2
0.24	3	1709	1	1	0
0.24	2	1726	1	0	2
0.24	2	1715	2	2	1
0.24	2	1947	0	1	0
0.24	2	2224	0	1	0
0.24	2	2046	0	1	1
0.24	2	1948	0	1	1
0.25	5	1708	2	1	1
0.25	4	1707	2	2	1
0.25	4	2001	2	2	2
0.25	2	1723	1	0	2
0.25	2	2039	0	1	1
0.25	2	1712	2	2	1
0.25	2	2215	0	1	0
0.25	2	1940	0	1	0
0.25	2	1941	0	1	1
0.26	5	1708	2	1	1
0.26	4	1707	2	2	1
0.26	4	2000	2	2	2
0.26	2	1723	1	0	2
0.26	2	1712	2	2	1
0.26	2	1940	0	1	1
0.26	2	2038	0	1	1
0.26	2	1939	0	1	0
0.26	2	2214	0	1	0
0.27	6	1706	3	2	2
0.27	4	2428	0	1	1
0.27	4	1993	2	2	2
0.27	4	1705	2	2	1
