	median_1	median_2	median_3	median_4	median_5	median_6	median_7	median_8	median_9	median_10	median_11	median_12	median_13	median_14	median_15	median_16	median_17	median_18	median_19	median_20	median_21	median_22	median_23	median_24	median_25	median_26	median_27	median_28	median_29	median_30	median_31	median_32	median_33	median_34	median_35	median_36	median_37	median_38	median_39	median_40	median_41	median_42	median_43	median_44	median_45	median_46	median_47	median_48	std_1	std_2	std_3	std_4	std_5	std_6	std_7	std_8	std_9	std_10	std_11	std_12	std_13	std_14	std_15	std_16	std_17	std_18	std_19	std_20	std_21	std_22	std_23	std_24	std_25	std_26	std_27	std_28	std_29	std_30	std_31	std_32	std_33	std_34	std_35	std_36	std_37	std_38	std_39	std_40	std_41	std_42	std_43	std_44	std_45	std_46	std_47	std_48	median_profile	median_std
Tb11.0840	590625000.0	529195000.0	281550000.0	495135000.0	399890000.0	440850000.0	391285000.0	354545000.0	819565000.0	548765000.0	444460000.0	391395000.0	281775000.0	195975500.0	256340000.0	215055000.0	314500000.0	219100000.0	203820000.0	215565000.0	214190000.0	187310000.0	227825000.0	271500000.0	209400000.0	156680000.0	256595000.0	187905000.0	52170000.0	0.0	0.0	187480000.0	486065000.0	1655650000.0	3894100000.0	3954450000.0	3344300000.0	6566650000.0	13566000000.0	19721000000.0	20871500000.0	13712000000.0	10603200000.0	7972250000.0	8480650000.0	6986650000.0	7960100000.0	9794650000.0	170570233.31070018	80929659.73609442	158198270.61317706	101913247.58505802	116706818.28125268	77755943.98501006	126039237.64050631	253087873.59005043	261291624.6265848	190231802.34913412	203449729.15112638	252077802.32499653	210701495.07063305	223641737.8612126	236002276.45441616	63844167.77070035	319257622.82050526	210851502.64265764	164701016.08672607	75407385.37437828	104101581.64024214	100001892.44042668	82433162.01626624	102223765.33859433	96145343.9243593	96699675.06839582	116804145.5813962	62120206.79027611	106878608.62991558	0.0	0.0	121894351.54913181	195652386.0489993	1512349737.7150123	1518011892.7948709	1916104994.2961543	618760375.6705792	1690403791.0116823	1497713145.654626	4714514706.379292	6647386021.337004	2071169456.289527	2952143724.3411202	2171325958.180086	2808321746.1679854	1753619860.9352765	2052213562.6358857	2376387700.3763514	0.9318300876702624	0.0269687084241301
Tb927.6.2170	619965000.0	644370000.0	706870000.0	617795000.0	695675000.0	677250000.0	656740000.0	698010000.0	797275000.0	732980000.0	813795000.0	810500000.0	695510000.0	597220000.0	668010000.0	827840000.0	1349250000.0	2375850000.0	4145800000.0	6978750000.0	9931550000.0	13025500000.0	22327500000.0	22038500000.0	13238000000.0	5201250000.0	1878300000.0	835985000.0	438635000.0	348985000.0	401425000.0	436255000.0	727570000.0	957650000.0	1238700000.0	876610000.0	667290000.0	864245000.0	2265850000.0	3853650000.0	8134500000.0	10283000000.0	12203200000.0	8512800000.0	7033650000.0	5358350000.0	4031100000.0	3717700000.0	166096720.69309503	109838263.36937416	149278066.26114458	129113168.5770278	41722915.36633876	141859875.11155742	123415635.79357907	69771278.95249353	253234202.6662272	41341815.39313435	146931467.58494842	98380644.43781611	105268973.70545617	163531553.7340322	53631537.36375641	118838188.16637501	253452341.0163472	782024409.2524647	1761207855.421954	2145077547.1607857	1590340535.8601649	2693567197.9737234	3283784503.6887965	2929502005.460998	1416596625.719538	445950986.65659994	608955008.6008	396923079.7858278	350596431.94371885	184768760.77501124	97805304.34661177	85160235.38992062	193966220.4912667	196827496.787585	300618018.4636306	542263487.7683237	551118545.8909906	343810512.4798638	272551090.0118844	810351761.0684056	2293102609.0939183	2562879612.2070665	3830065827.110549	3758174941.377796	3713713406.9778004	2218910469.126683	1359148430.390638	1732202635.1344302	0.9493783459261425	0.022623560539814302
Tb927.10.15590	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	317550000.0	1321300000.0	2630350000.0	2736800000.0	1575050000.0	1385800000.0	804905000.0	415820000.0	268250000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67875000.0	86873002.13530093	369157902.07804936	536432804.1174707	563569885.4918815	826050137.7035173	573234918.9395798	304459038.6242458	271019318.4227525	507231856.09081507	0.8985283729356073	0.058948298660288674
Tb927.9.11770	14138000.0	46561000.0	51594000.0	60609000.0	61262000.0	57521000.0	57658500.0	26200000.0	28365500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23123741.882893145	5674504.794840398	11643905.931144124	18190055.45850076	36176907.08633524	31372258.18431522	41296503.83406163	32981411.27337236	35633206.65240968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6979925955147928	0.20429945906678437
Tb927.11.13870	0.0	0.0	0.0	0.0	0.0	6416500.0	0.0	0.0	11649500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224840000.0	6801650000.0	22306000000.0	32160000000.0	17414500000.0	7065950000.0	2247700000.0	1180845000.0	327190000.0	51670000.0	0.0	8908000.0	29601500.0	0.0	6101500.0	0.0	9886163.643362036	0.0	0.0	19603548.103595942	5277000.0	0.0	0.0	0.0	0.0	0.0	0.0	64970000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7765000.0	0.0	0.0	204329640.69529086	1014979122.9380064	7124310492.952984	14560947244.828083	3604849927.5281878	2053837424.5949132	1525160744.533725	853688717.288099	285018999.3012162	70416824.69410276	45438500.0	0.9537607172052485	0.023825577937444723
Tb927.9.11110	123705000.0	126060000.0	210065000.0	167495000.0	126240000.0	158005000.0	108578500.0	113935000.0	106525000.0	105210000.0	173520000.0	313240000.0	429450000.0	318060000.0	140185000.0	12047500.0	5701500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51842797.959311575	16431761.926220816	93102777.79601064	26698617.941758707	36610329.14356275	52968381.99970494	21450950.116875164	13995870.114072938	10102088.892897349	37248679.739466384	47198056.81028263	102641831.75002286	109197305.217055	126434329.19899563	86850386.4892571	21280492.420681123	10833218.923754841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9250893890999874	0.059732682751280734
Tb927.4.4910	130995000.0	133510000.0	182535000.0	164795000.0	153180000.0	152085000.0	117029000.0	125320000.0	118539500.0	112850000.0	41697500.0	36143000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10649000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213945000.0	176420000.0	0.0	0.0	0.0	0.0	46542000.0	64490000.0	0.0	83495000.0	0.0	0.0	0.0	72109312.10091154	37523703.53412183	68501364.70660031	91892829.74385615	53928738.68356278	106365878.88157555	42292564.60557419	31545882.49941134	44753502.81262909	24556670.695895784	61102154.26848713	47889603.89879346	60500000.0	48883000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11421500.0	13160920.231250295	0.0	0.0	0.0	0.0	0.0	0.0	63145000.0	104420000.0	209915465.0488302	145291485.4123714	127450000.0	56385000.0	0.0	0.0	61227844.719539165	82972265.3963359	102450000.0	97118268.92162634	0.0	0.0	60125000.0	0.6014775624660958	0.07398806799824544
Tb927.11.2330	14568500.0	60311500.0	88551000.0	76184000.0	67604000.0	21581000.0	54091500.0	24546500.0	44231000.0	20805000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25851602.237579007	8525895.945099652	24897508.027913153	19987811.102436073	12061420.849828044	37289144.60782566	9084641.22846907	36651419.866766416	22488947.676210493	24644678.938870355	24433500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8174844271464299	0.05372616301706215
Tb927.11.6300	3270800000.0	2929100000.0	3614900000.0	3285150000.0	2427500000.0	3291750000.0	2001450000.0	2022800000.0	1752700000.0	1552250000.0	1434600000.0	1072900000.0	1055560000.0	909940000.0	609880000.0	590235000.0	559030000.0	473020000.0	448905000.0	370695000.0	382665000.0	342125000.0	245320000.0	253600000.0	207040000.0	164455000.0	91420000.0	82285000.0	56925000.0	0.0	0.0	61595000.0	0.0	0.0	200310000.0	0.0	0.0	0.0	0.0	475380000.0	1609000000.0	7890250000.0	21502000000.0	15866000000.0	15798500000.0	12215500000.0	9544000000.0	6199000000.0	3328269771.092281	555244759.0927792	1256945941.558348	1323849745.6912045	532742979.7754252	1475302946.0080388	410289015.00446373	207261821.1345248	259170735.23065767	233888882.09290132	200759316.92784107	272436224.95304596	905543847.1392021	386924507.02085716	171646871.41531786	108968101.86930862	235380858.0966884	262618024.30843678	260715561.86771822	158003086.57322702	95295981.37732077	100224863.30746478	115017405.92913173	91699398.2168549	46111399.530557156	111696960.08247793	135298721.69265556	99483119.00351067	72892802.28527369	161230000.0	0.0	75548257.64591354	214265000.0	0.0	318704695.2378748	161110000.0	0.0	0.0	132440000.0	246272173.60405675	2573510933.0445833	2088505352.3193715	6555811188.047854	5819793438.487889	5053398625.347763	7259702598.763947	2689109906.4870267	1703967942.5290463	0.8941648533119536	0.05917094668619942
Tb927.11.9170	52229500.0	40836000.0	48628000.0	36367000.0	39439500.0	41463000.0	46419500.0	41845000.0	41901000.0	41151500.0	48183000.0	41027000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30319282.977174774	2478407.0657043676	5951771.970038279	19171706.72284204	8755180.652048249	10139384.740538584	24103420.467850614	3946352.778199131	7125026.315740876	7164912.019697102	6957956.860075138	23451598.75147108	15178000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8178242111921414	0.08628541668238951
